"","x"
"1",0.00505677740930333
"2",0.0377769005132049
"3",0.0287918432585359
"4",0.0421558099397834
"5",0.00116153665453567
"6",0.000529789965059813
"7",0.0109805801727231
"8",0.00313910758657332
"9",0.00174190689136733
"10",0.01972411698969
"11",0.0213804716065318
"12",0.0990718318981614
"13",0.0210889445289943
"14",0.00303002608314018
"15",0.00519579856307573
"16",0.0135423087579429
"17",0.00514452959882938
"18",0.00270807816751084
"19",0.00639703611404685
"20",0.0155908279258781
"21",0.00334243809734769
"22",0.0218976068208421
"23",0.0103805266946644
"24",0.0389826695672109
"25",0.0494621656518097
"26",0.0525092776543754
"27",0.0290436478028326
"28",0.0701649226827135
"29",0.0174655552548779
"30",0.0175411042253435
"31",0.0660878973765719
"32",0.0370835861639061
"33",0.0430263863225622
"34",0.0540819486862514
"35",0.0189074849030804
"36",0.0569348857336842
"37",0.012598603219051
"38",0.00657794991703131
"39",0.0433439982240496
"40",0.00957633142082326
"41",0.0104281947867708
"42",0.0133988751113686
"43",0.0144489380366912
"44",0.00832951679322314
"45",0.145397133574451
"46",0.0667334766032761
"47",0.0142161051383112
"48",0.127141833752315
